"IDPIF","SUPQUEMADA","MUERTOS","HERIDOS","COMUNIDAD","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","IDGRUPOCAUSA","DESC_CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2005370407","1050.0000","0","0","CASTILLA Y LEON","SALAMANCA","ROBLEDA","SERRADILLA DEL LLANO","40.46013800","-6.36268500","2005-08-31","1030","2465","4","Sin datos","157","24","15","0","612549"
"2009440086","1047.6400","1","0","ARAGON","TERUEL","COMUNIDAD DE TERUEL","CORBALÁN","40.44152100","-0.95741700","2009-07-22","7555","13245","1","RAYO","111","13","6","120943","7851622"
"2007120015","1044.8300","0","0","C. VALENCIANA","CASTELLON","L ALT PALANCIA","GAIBIEL","39.92902600","-0.49928700","2007-03-07","2265","8433","1","RAYO","88","19","6","0","0"
"2004410016","1043.1000","0","0","ANDALUCIA","SEVILLA","SIERRA NORTE","OTRA PROVINCIA","37.51362300","-6.38681600","2004-06-30","0","0","4","Provocados por venganzas","246","17","16","0","1291372"
"2005490366","1020.0000","0","0","CASTILLA Y LEON","ZAMORA","PUEBLA DE SANABRIA","PEDRALBA DE LA PRADERIA","41.97677600","-6.71645400","2005-03-13","1095","1725","4","Provocados por campesinos para eliminar matorral y residuos agrícolas","58","5","6","8893","0"
"2006050125","1016.7700","0","0","CASTILLA Y LEON","AVILA","AVILA","AVILA","40.67369100","-4.49348500","2006-09-03","370","9010","4","Provocados por venganzas","125","10","13","0","0"
"2006151566","1015.0000","0","0","GALICIA","A CORUÑA","BARBANZA","PORTO DO SON","42.65082700","-9.00999200","2006-08-06","5430","5550","4","Provocados por campesinos para eliminar matorral y residuos agrícolas","42","7","4","0","2237543"
"2007210102","1009.8700","0","2","ANDALUCIA","HUELVA","EL CONDADO","NIEBLA","37.49309900","-6.68303200","2007-07-29","1955","3425","2","OTRAS NEGLIGENCIAS (OTRAS)","274","30","17","0","0"
"2005323138","1007.0000","0","1","GALICIA","OURENSE","O RIBEIRO-ARENTEIRO","AVIÓN","42.27110000","-7.52721200","2005-08-21","2676","5721","4","Provocados por pastores y ganaderos para regenerar el pasto","139","14","11","0","0"
"2006151824","1000.0000","0","0","GALICIA","A CORUÑA","BERGANTIÑOS-MARIÑAS COR","A LARACHA","43.23987700","-8.49522500","2006-08-09","3398","3523","4","Sin datos","94","13","1","0","1685245"
"2006151694","1000.0000","0","0","GALICIA","A CORUÑA","BARBANZA","PADRÓN","42.76074300","-8.62632000","2006-08-08","0","0","5","CAUSA DESCONOCIDA","61","9","5","0","2648229"
"2003100797","992.0000","0","0","EXTREMADURA","CACERES","AMBROZ-JERTE Y TIETAR","TORNAVACAS","40.24240700","-5.68069400","2003-09-12","0","0","4","Provocados por pastores y ganaderos para regenerar el pasto","252","16","18","0","21658"
"2010240181","990.0000","0","0","CASTILLA Y LEON","LEON","TRUCHAS","BENUZA","42.30988000","-6.69281600","2010-08-24","1909","6070","4","Sin datos","216","7","8","0","0"
