"IDPIF","zIndex","SUPQUEMADA","RADIO_M","MUERTOS","HERIDOS","IDCOMUNIDAD","COMUNIDAD","IDPROVINCIA","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","RES_GRP_CAUSA","IDGRUPOCAUSA","DESC_CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2003370096","258","1804.3700","2396.55755059929","0","0","17","CASTILLA Y LEON","37","SALAMANCA","LA ALBERCA","ESCURIAL DE LA SIERRA","40.61426300","-5.95628400","2003-08-03","470","3080","0","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","273","15","5","0","94927"
"2006361628","259","1773.4400","2375.92820715143","0","0","3","GALICIA","36","PONTEVEDRA","CALDAS-O SALNES","CATOIRA","42.65484900","-8.68714000","2006-08-07","1790","1850","1","4","Provocados por pirómanos","77","10","2","25961","15001159"
"2009160215","260","1759.2800","2366.42391926176","0","0","11","CASTILLA-MANCHA","16","CUENCA","SERRANIA ALTA","LAS MAJADAS","40.22651100","-1.98727900","2009-07-21","5495","17430","0","1","RAYO","621","47","42","0","0"
"2009160212","261","1718.2000","2338.63217809255","0","0","11","CASTILLA-MANCHA","16","CUENCA","SERRANIA ALTA","POYATOS","40.40927800","-2.02496900","2009-07-21","3220","17515","1","4","Provocados por venganzas","406","25","42","0","0"
"2010320988","262","1715.0000","2336.45341234359","0","0","3","GALICIA","32","OURENSE","VERIN-VIANA","LAZA","42.17466700","-7.42050900","2010-08-29","5340","10320","1","4","Provocados por campesinos para eliminar matorral y residuos agrícolas","349","16","49","0","33486"
"2003460166","263","1707.0000","2330.99758840658","0","0","9","C. VALENCIANA","46","VALENCIA","LA FOIA DE BUNYOL","BUÑOL","39.47449500","-0.84284900","2003-08-28","2730","7065","1","4","Sin datos","60","8","11","0","44355"
"2006361702","264","1702.9400","2328.22386719539","0","0","3","GALICIA","36","PONTEVEDRA","CALDAS-O SALNES","PONTE CALDELAS","42.41996100","-8.54267000","2006-08-08","6750","7410","1","4","Provocados por pirómanos","53","5","9","3585","7525807"
"2005323296","265","1675.0000","2309.0453857771","0","0","3","GALICIA","32","OURENSE","VERIN-VIANA","LAZA","42.43745600","-8.26910200","2005-08-24","3310","4615","1","4","Sin datos","172","19","17","0","0"
"2006450196","266","1664.7000","2301.93498502924","0","0","11","CASTILLA-MANCHA","45","TOLEDO","INDETERMINADA","OTRA PROVINCIA","39.62810800","-5.23642100","2006-08-12","1672","2010","1","4","Provocados por venganzas","265","29","13","107837","741264"
"2001130110","267","1640.0000","2284.79367414525","0","0","11","CASTILLA-MANCHA","13","CIUDAD REAL","CAMPO DE CALATRAVA","ARGAMASILLA DE CALATRAVA","38.74332800","-4.02222300","2001-08-15","860","1160","0","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","118","15","3","0","753668"
"2006361589","268","1601.5000","2257.81594184145","0","0","3","GALICIA","36","PONTEVEDRA","VIGO-BAIXO MIÑO","PAZOS DE BORBÉN","42.30664900","-8.55240800","2006-08-06","5825","5835","1","4","Otras motivaciones","170","10","9","95998","7595589"
"2006331107","269","1600.0000","2256.75833419103","0","0","5","ASTURIAS","33","ASTURIAS","EO-NAVIA","VALDÉS","43.47255200","-6.51999100","2006-05-21","1657","11863","0","3","LÍNEAS ELÉCTRICAS","154","18","4","0","2174367"
"2001170058","270","1596.0000","2253.93562097352","0","0","2","CATALUÑA","17","GIRONA","ALT EMPORDA","CADAQUÉS","42.29893900","3.25719100","2001-06-18","1975","3475","0","2","FUMADORES","145","50","7","0","0"
